lat,lon,id,time
51.91656,4.44397,GRT02_f70069c0-b159-448f-9308-c9f398d36c98,06-12-2017 16:05:17
51.93412,4.42162,GRT02_3884ed72-fb57-457c-9a98-aead017ba524,06-12-2017 16:05:17
51.91656,4.44397,GRT02_f70069c0-b159-448f-9308-c9f398d36c98,06-12-2017 16:06:17
51.93412,4.42162,GRT02_3884ed72-fb57-457c-9a98-aead017ba524,06-12-2017 16:06:17
51.93771,4.41743,GRT02_0d1dafc4-4f14-4822-90b4-c6b88cbdc3e1,06-12-2017 16:07:17
51.90975,4.44957,GRT02_613d2718-71de-407a-b592-cd0fba838cdc,06-12-2017 16:07:17
51.93771,4.41743,GRT02_0d1dafc4-4f14-4822-90b4-c6b88cbdc3e1,06-12-2017 16:08:17
51.90975,4.44957,GRT02_613d2718-71de-407a-b592-cd0fba838cdc,06-12-2017 16:08:17
51.93771,4.41743,GRT02_0d1dafc4-4f14-4822-90b4-c6b88cbdc3e1,06-12-2017 16:09:18
51.90975,4.44957,GRT02_613d2718-71de-407a-b592-cd0fba838cdc,06-12-2017 16:09:18
51.93771,4.41743,GRT02_0d1dafc4-4f14-4822-90b4-c6b88cbdc3e1,06-12-2017 16:10:18
51.93771,4.41743,GRT02_0d1dafc4-4f14-4822-90b4-c6b88cbdc3e1,06-12-2017 16:11:18
51.90819,4.46351,GRT02_1ed2b5d9-2687-48df-a6cf-edad7b03f02d,06-12-2017 16:13:18
51.90819,4.46351,GRT02_1ed2b5d9-2687-48df-a6cf-edad7b03f02d,06-12-2017 16:14:18
51.90819,4.46351,GRT02_1ed2b5d9-2687-48df-a6cf-edad7b03f02d,06-12-2017 16:15:18
51.90819,4.46351,GRT02_1ed2b5d9-2687-48df-a6cf-edad7b03f02d,06-12-2017 16:16:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:20:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:21:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:22:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:23:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:24:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:25:18
51.90682,4.46446,GRT02_0079c25b-cd73-4237-a09d-89d59eb79fb5,06-12-2017 16:26:18
