lat,lon,id,time
51.90682,4.46446,GRT02_da0e7f2c-9c0f-4bcc-9f9b-5e2a8083e436,07-12-2017 13:24:19
51.90682,4.46446,GRT02_da0e7f2c-9c0f-4bcc-9f9b-5e2a8083e436,07-12-2017 13:25:19
51.93771,4.41743,GRT02_8445c295-3a3f-4e71-a2d4-f37d538676a3,07-12-2017 13:25:19
51.90682,4.46446,GRT02_da0e7f2c-9c0f-4bcc-9f9b-5e2a8083e436,07-12-2017 13:26:19
51.93771,4.41743,GRT02_8445c295-3a3f-4e71-a2d4-f37d538676a3,07-12-2017 13:26:19
51.90682,4.46446,GRT02_da0e7f2c-9c0f-4bcc-9f9b-5e2a8083e436,07-12-2017 13:27:19
51.93771,4.41743,GRT02_8445c295-3a3f-4e71-a2d4-f37d538676a3,07-12-2017 13:27:19
51.93412,4.42162,GRT02_5cccb4b0-aad8-43ec-9538-4e5ee958aed7,07-12-2017 13:28:19
51.93412,4.42162,GRT02_5cccb4b0-aad8-43ec-9538-4e5ee958aed7,07-12-2017 13:29:19
51.90819,4.46351,GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,07-12-2017 13:30:19
51.93412,4.42162,GRT02_5cccb4b0-aad8-43ec-9538-4e5ee958aed7,07-12-2017 13:30:19
51.90819,4.46351,GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,07-12-2017 13:31:19
51.90819,4.46351,GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,07-12-2017 13:32:19
51.90819,4.46351,GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,07-12-2017 13:33:19
51.90819,4.46351,GRT02_f3417d93-ecfa-42c1-bd81-6898ebba38f0,07-12-2017 13:34:19
51.91656,4.44397,GRT02_2ef125ea-d464-47b5-bf1d-9c3c34537fd1,07-12-2017 13:38:20
51.91656,4.44397,GRT02_2ef125ea-d464-47b5-bf1d-9c3c34537fd1,07-12-2017 13:39:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:40:20
51.91656,4.44397,GRT02_2ef125ea-d464-47b5-bf1d-9c3c34537fd1,07-12-2017 13:40:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:41:20
51.91656,4.44397,GRT02_2ef125ea-d464-47b5-bf1d-9c3c34537fd1,07-12-2017 13:41:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:42:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:43:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:44:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:45:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:45:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:46:20
51.90975,4.44957,GRT02_7b7d8aaf-1ac7-48a4-8deb-e8423551bb19,07-12-2017 13:46:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:47:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:48:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:49:20
51.90819,4.46351,GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,07-12-2017 13:49:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:50:20
51.90819,4.46351,GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,07-12-2017 13:50:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:51:20
51.90819,4.46351,GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,07-12-2017 13:51:20
51.91656,4.44397,GRT02_9d0a2ef5-be90-4202-8231-f7f9e9e7de42,07-12-2017 13:52:20
51.90975,4.44957,GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,07-12-2017 13:52:20
51.90819,4.46351,GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,07-12-2017 13:52:20
51.90975,4.44957,GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,07-12-2017 13:53:20
51.90819,4.46351,GRT02_64903d2e-0968-4c59-9e17-6591698ec7ce,07-12-2017 13:53:20
51.90975,4.44957,GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,07-12-2017 13:54:20
51.90975,4.44957,GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,07-12-2017 13:55:20
51.90975,4.44957,GRT02_29fdd139-0be5-4ee8-8cec-18276e384b44,07-12-2017 13:56:20
